"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1259","Получить список заданий get /challenges API","webkit","Fri Apr 10 04:40:54 UTC 2026","passed","Fri Apr 10 04:40:55 UTC 2026","API challenge","apiPW.test.js","",""
"","6436","Пользователь может изменить bio","webkit","Fri Apr 10 04:09:05 UTC 2026","passed","Fri Apr 10 04:09:11 UTC 2026","Демо","demo.spec.js","",""
"","5665","Проверить цвет логотипа","chromium","Tue Apr 21 03:54:36 UTC 2026","passed","Tue Apr 21 03:54:42 UTC 2026","CSS","color.test.js","",""
"","605","Получить список заданий get /challenges @API","chromium","Tue Apr 21 04:34:11 UTC 2026","passed","Tue Apr 21 04:34:11 UTC 2026","API challenge v2","apiAxios.test.js","",""
"","5202","Пользователь может изменить bio.","webkit","Wed Apr 01 07:03:21 UTC 2026","failed","Wed Apr 01 07:03:26 UTC 2026","Builder","facade.spec.js","",""
"","4806","Пользователь может изменить bio.","firefox","Wed Apr 01 07:00:51 UTC 2026","failed","Wed Apr 01 07:00:56 UTC 2026","Builder","allure.test.js","",""
"","3458","Пользователь может изменить bio.","chromium","Wed Apr 01 07:03:07 UTC 2026","failed","Wed Apr 01 07:03:10 UTC 2026","Builder","builder.spec.js","",""
"","555","Получить список заданий get /challenges @API","firefox","Wed Apr 22 04:13:44 UTC 2026","passed","Wed Apr 22 04:13:44 UTC 2026","API challenge v2","apiAxiosJunior.test.js","",""
"","5518","Пользователь может изменить bio.","webkit","Wed Apr 01 07:03:14 UTC 2026","failed","Wed Apr 01 07:03:19 UTC 2026","Builder","builder.spec.js","",""
"","4486","Проверить цвет логотипа","firefox","Tue Apr 21 03:54:36 UTC 2026","passed","Tue Apr 21 03:54:41 UTC 2026","CSS","color.test.js","",""
"","3357","Пользователь может изменить bio.","chromium","Wed Apr 01 07:03:07 UTC 2026","failed","Wed Apr 01 07:03:10 UTC 2026","Builder","facade.spec.js","",""
"","552","Получить список заданий get /challenges @API","chromium","Wed Apr 22 04:13:44 UTC 2026","passed","Wed Apr 22 04:13:44 UTC 2026","API challenge v3","apiAxiosMiddle.test.js","",""
"","556","Получить список заданий get /challenges @API","chromium","Wed Apr 22 04:13:44 UTC 2026","passed","Wed Apr 22 04:13:44 UTC 2026","API challenge v2","apiAxiosJunior.test.js","",""
"","1152","Отредактировать задание PUT /todos/{id} @API","firefox","Tue Apr 21 04:23:32 UTC 2026","failed","Tue Apr 21 04:23:34 UTC 2026","API challenge","apiPW.test.js","",""
"","415","Получить список заданий get /challenges @API","firefox","Wed Apr 22 04:13:44 UTC 2026","passed","Wed Apr 22 04:13:44 UTC 2026","API challenge v3","apiAxiosMiddle.test.js","",""
"","1206","Получить список заданий get /challenges API","chromium","Fri Apr 10 04:40:51 UTC 2026","passed","Fri Apr 10 04:40:52 UTC 2026","API challenge","apiPW.test.js","",""
"","394","Получить список заданий get /challenges @API","webkit","Wed Apr 22 04:13:46 UTC 2026","passed","Wed Apr 22 04:13:47 UTC 2026","API challenge v2","apiAxiosJunior.test.js","",""
"","4115","Пользователь может изменить bio","chromium","Fri Apr 10 04:08:52 UTC 2026","passed","Fri Apr 10 04:08:56 UTC 2026","Демо","demo.spec.js","",""
"","955","Отредактировать задание PUT /todos/{id} @API","webkit","Tue Apr 21 04:23:35 UTC 2026","failed","Tue Apr 21 04:23:36 UTC 2026","API challenge","apiPW.test.js","",""
"","4229","Пользователь может изменить bio.","chromium","Fri Apr 10 04:08:52 UTC 2026","passed","Fri Apr 10 04:08:56 UTC 2026","Builder","fixture.test.js","",""
"","441","Получить список заданий get /challenges @API","firefox","Tue Apr 21 04:34:11 UTC 2026","passed","Tue Apr 21 04:34:11 UTC 2026","API challenge v2","apiAxios.test.js","",""
"","6691","Пользователь может изменить bio.","webkit","Fri Apr 10 04:09:05 UTC 2026","passed","Fri Apr 10 04:09:12 UTC 2026","Builder","fixture.test.js","",""
"","401","Получить список заданий get /challenges @API","webkit","Wed Apr 22 04:13:47 UTC 2026","passed","Wed Apr 22 04:13:47 UTC 2026","API challenge v3","apiAxiosMiddle.test.js","",""
"","1160","Получить список заданий get /challenges API","firefox","Fri Apr 10 04:40:51 UTC 2026","passed","Fri Apr 10 04:40:52 UTC 2026","API challenge","apiPW.test.js","",""
"","958","mocks a fruit and doesn't call api","chromium","Tue Apr 07 11:44:29 UTC 2026","passed","Tue Apr 07 11:44:30 UTC 2026","","api.test.js","",""
"","6440","Пользователь может изменить bio","firefox","Fri Apr 10 04:08:55 UTC 2026","passed","Fri Apr 10 04:09:02 UTC 2026","Демо","demo.spec.js","",""
"","4653","Пользователь может изменить bio.","firefox","Wed Apr 01 07:03:07 UTC 2026","failed","Wed Apr 01 07:03:11 UTC 2026","Builder","builder.spec.js","",""
"","1171","Отредактировать задание PUT /todos/{id} @API","chromium","Tue Apr 21 04:23:32 UTC 2026","failed","Tue Apr 21 04:23:34 UTC 2026","API challenge","apiPW.test.js","",""
"","5306","Проверить цвет логотипа","webkit","Tue Apr 21 03:54:36 UTC 2026","passed","Tue Apr 21 03:54:41 UTC 2026","CSS","color.test.js","",""
"","4962","Пользователь может изменить bio.","firefox","Wed Apr 01 07:03:12 UTC 2026","failed","Wed Apr 01 07:03:17 UTC 2026","Builder","facade.spec.js","",""
"","3104","Пользователь может изменить bio.","chromium","Wed Apr 01 07:00:46 UTC 2026","failed","Wed Apr 01 07:00:49 UTC 2026","Builder","allure.test.js","",""
"","596","Получить список заданий get /challenges @API","webkit","Tue Apr 21 04:34:11 UTC 2026","passed","Tue Apr 21 04:34:11 UTC 2026","API challenge v2","apiAxios.test.js","",""
"","4536","Пользователь может изменить bio.","webkit","Wed Apr 01 07:00:59 UTC 2026","failed","Wed Apr 01 07:01:04 UTC 2026","Builder","allure.test.js","",""
"","6541","Пользователь может изменить bio.","firefox","Fri Apr 10 04:08:59 UTC 2026","passed","Fri Apr 10 04:09:05 UTC 2026","Builder","fixture.test.js","",""
